product,date_time,external_measurement_weight,height_avg
7 oz T Tenderloin A,2024-06-03 11:13:31,7.04,1.18169
7 oz T Tenderloin A,2024-06-03 11:13:38,6.7,1.46057
7 oz T Tenderloin A,2024-06-03 11:13:49,6.76,2.14201
7 oz T Tenderloin A,2024-06-03 11:13:58,6.88,1.32184
7 oz T Tenderloin A,2024-06-03 11:14:06,6.82,1.54942
7 oz T Tenderloin A,2024-06-03 11:14:22,7.1,1.13953
7 oz T Tenderloin A,2024-06-03 11:14:32,7.3,2.18272
7 oz T Tenderloin A,2024-06-03 11:14:41,6.9,1.589
7 oz T Tenderloin A,2024-06-03 11:14:48,6.988,1.87397
7 oz T Tenderloin A,2024-06-03 11:15:02,7.4,2.79522
7 oz T Tenderloin A,2024-06-03 11:15:15,6.96,1.3909
7 oz T Tenderloin A,2024-06-03 11:15:27,7.5,1.45866
7 oz T Tenderloin A,2024-06-03 11:15:37,7.22,1.2545
7 oz T Tenderloin A,2024-06-03 11:15:47,6.96,1.18797
7 oz T Tenderloin A,2024-06-03 11:16:00,7.0,1.24551
7 oz T Tenderloin A,2024-06-03 11:16:07,6.98,1.60754
7 oz T Tenderloin A,2024-06-03 11:16:16,7.1,1.8863
7 oz T Tenderloin A,2024-06-03 11:16:23,6.5,1.5166
7 oz T Tenderloin A,2024-06-03 11:16:29,6.8,1.38735
7 oz T Tenderloin A,2024-06-03 11:16:39,7.23,1.79337
7 oz T Tenderloin A,2024-06-03 11:16:45,7.3,1.44851
7 oz T Tenderloin A,2024-06-03 11:16:53,7.0,1.83541
7 oz T Tenderloin A,2024-06-03 11:17:03,7.48,2.5384
7 oz T Tenderloin A,2024-06-03 11:17:14,6.72,1.18907
7 oz T Tenderloin A,2024-06-03 11:17:23,7.5,1.06766
7 oz T Tenderloin A,2024-06-03 11:17:33,6.8,1.32963
7 oz T Tenderloin A,2024-06-03 11:17:40,6.66,1.30963
7 oz T Tenderloin A,2024-06-03 11:17:57,7.0,1.89631
7 oz T Tenderloin A,2024-06-03 11:18:06,6.76,1.98987
7 oz T Tenderloin A,2024-06-03 11:18:13,6.5,1.37536
7 oz T Tenderloin A,2024-06-03 11:19:13,6.5,1.23341
7 oz T Tenderloin A,2024-06-03 11:19:20,7.28,1.51894
7 oz T Tenderloin A,2024-06-03 11:19:27,6.98,1.30672
7 oz T Tenderloin A,2024-06-03 11:19:35,6.94,1.87306
7 oz T Tenderloin A,2024-06-03 11:19:42,6.64,1.08987
7 oz T Tenderloin A,2024-06-03 11:19:50,7.3,1.74374
7 oz T Tenderloin A,2024-06-03 11:19:57,7.06,1.54567
7 oz T Tenderloin A,2024-06-03 11:20:04,7.22,1.33078
7 oz T Tenderloin A,2024-06-03 11:20:13,6.5,1.14541
7 oz T Tenderloin A,2024-06-03 11:20:20,6.5,1.55028
7 oz T Tenderloin A,2024-06-03 11:20:28,6.74,1.50748
7 oz T Tenderloin A,2024-06-03 11:20:40,6.78,1.98621
7 oz T Tenderloin A,2024-06-03 11:20:49,6.74,1.36283
7 oz T Tenderloin A,2024-06-03 11:20:56,7.04,1.40041
7 oz T Tenderloin A,2024-06-03 11:21:04,6.64,1.6557
7 oz T Tenderloin A,2024-06-03 11:21:10,7.4,1.43259
7 oz T Tenderloin A,2024-06-03 11:21:17,6.82,1.46566
7 oz T Tenderloin A,2024-06-03 11:21:24,6.98,1.27631
7 oz T Tenderloin A,2024-06-03 11:21:31,7.32,1.38766
7 oz T Tenderloin A,2024-06-03 11:21:39,6.74,1.25701
7 oz T Tenderloin A,2024-06-03 11:21:48,7.5,1.28609
7 oz T Tenderloin A,2024-06-03 11:21:56,6.54,1.15607
7 oz T Tenderloin A,2024-06-03 11:22:04,7.5,1.82777
7 oz T Tenderloin A,2024-06-03 11:22:11,6.89,1.52736
7 oz T Tenderloin A,2024-06-03 11:22:20,6.64,1.4166
7 oz T Tenderloin A,2024-06-03 11:22:27,7.14,1.26298
7 oz T Tenderloin A,2024-06-03 11:22:35,7.1,1.69255
7 oz T Tenderloin A,2024-06-03 11:22:43,6.5,1.16558
7 oz T Tenderloin A,2024-06-03 11:22:50,6.82,1.13284
7 oz T Tenderloin A,2024-06-03 11:22:59,6.5,1.01516
7 oz T Tenderloin A,2024-06-03 11:23:05,7.04,1.33135
7 oz T Tenderloin A,2024-06-03 11:23:13,7.02,1.7011
7 oz T Tenderloin A,2024-06-03 11:23:21,7.26,1.11331
7 oz T Tenderloin A,2024-06-03 11:23:36,6.9,1.55272
7 oz T Tenderloin A,2024-06-03 11:23:47,6.52,1.86821
7 oz T Tenderloin A,2024-06-03 11:23:56,7.02,1.51601
7 oz T Tenderloin A,2024-06-03 11:24:05,6.72,1.48348
7 oz T Tenderloin A,2024-06-03 11:24:14,6.84,1.21229
7 oz T Tenderloin A,2024-06-03 11:24:22,7.06,1.42888
7 oz T Tenderloin A,2024-06-03 11:24:29,6.5,1.21606
7 oz T Tenderloin A,2024-06-03 11:24:37,6.58,1.2727
7 oz T Tenderloin A,2024-06-03 11:24:43,7.12,1.36693
7 oz T Tenderloin A,2024-06-03 11:24:50,6.96,1.25357
7 oz T Tenderloin A,2024-06-03 11:25:30,6.62,2.39957
7 oz T Tenderloin A,2024-06-03 11:25:37,6.86,1.80773
7 oz T Tenderloin A,2024-06-03 11:25:52,6.76,1.36842
7 oz T Tenderloin A,2024-06-03 11:25:58,7.1,2.12992
7 oz T Tenderloin A,2024-06-03 11:26:05,7.36,1.95437
7 oz T Tenderloin A,2024-06-03 11:26:11,6.9,1.54285
7 oz T Tenderloin A,2024-06-03 11:26:21,7.16,1.58036
7 oz T Tenderloin A,2024-06-03 11:26:33,6.8,1.58546
7 oz T Tenderloin A,2024-06-03 11:26:41,6.7,1.64364
7 oz T Tenderloin A,2024-06-03 11:26:48,7.34,1.9459
7 oz T Tenderloin A,2024-06-03 11:26:57,6.82,1.27358
7 oz T Tenderloin A,2024-06-03 12:52:04,7.14,1.41053
7 oz T Tenderloin A,2024-06-03 12:52:29,7.26,1.44247
7 oz T Tenderloin A,2024-06-03 12:52:38,6.86,1.45428
7 oz T Tenderloin A,2024-06-03 12:52:48,6.5,1.3201
7 oz T Tenderloin A,2024-06-03 12:52:57,6.84,1.33021
7 oz T Tenderloin A,2024-06-03 12:53:04,6.5,1.33463
7 oz T Tenderloin A,2024-06-03 12:53:12,6.6,1.89891
7 oz T Tenderloin A,2024-06-03 12:53:20,6.7,1.46384
7 oz T Tenderloin A,2024-06-03 12:53:30,6.98,1.31656
7 oz T Tenderloin A,2024-06-03 12:53:38,6.86,2.15109
7 oz T Tenderloin A,2024-06-03 12:53:46,7.4,2.40952
7 oz T Tenderloin A,2024-06-03 12:53:54,6.58,1.38145
7 oz T Tenderloin A,2024-06-03 12:54:01,6.62,1.79162
7 oz T Tenderloin A,2024-06-03 12:54:10,6.74,1.4437
7 oz T Tenderloin A,2024-06-03 12:54:19,7.16,1.54703
7 oz T Tenderloin A,2024-06-03 12:54:31,6.56,1.35145
7 oz T Tenderloin A,2024-06-03 12:54:40,6.53,1.37489
7 oz T Tenderloin A,2024-06-03 12:54:51,6.93,1.52096
7 oz T Tenderloin A,2024-06-03 12:54:59,6.98,1.22935
7 oz T Tenderloin A,2024-06-03 12:55:06,6.6,2.56123
7 oz T Tenderloin A,2024-06-03 12:55:13,6.56,1.26641
6 oz T Tenderloin A,2024-06-03 12:58:29,6.04,1.05553
6 oz T Tenderloin A,2024-06-03 12:58:48,5.86,1.41905
6 oz T Tenderloin A,2024-06-03 12:58:57,6.18,2.29367
6 oz T Tenderloin A,2024-06-03 12:59:05,6.3,0.988255
6 oz T Tenderloin A,2024-06-03 12:59:12,5.9,1.08683
